time (sec)	Acc (m/s^2)
0	-0.02314
0.02	0.02005
0.04	0.04079
0.06	0.02798
0.08	0.00876
0.1	0.01101
0.12	0.07509
0.14	0.13464
0.16	0.13969
0.18	0.09866
0.2	0.05316
0.22	0.05038
0.24	0.08516
0.26	0.15283
0.28	0.23499
0.3	0.26897
0.32	0.21253
0.34	0.09284
0.36	0.03922
0.38	0.05301
0.4	0.0597
0.42	0.07461
0.44	0.08951
0.46	0.07419
0.48	0.0642
0.5	0.07361
0.52	0.07586
0.54	0.00917
0.56	-0.11204
0.58	-0.19952
0.6	-0.24765
0.62	-0.24251
0.64	-0.0341
0.66	0.20416
0.68	0.28219
0.7	0.12709
0.72	-0.12308
0.74	-0.25452
0.76	-0.14926
0.78	0.28335
0.8	0.58289
0.82	0.71519
0.84	0.75964
0.86	0.77488
0.88	0.53427
0.9	-0.263
0.92	-0.97911
0.94	-1.0912
0.96	-0.44568
0.98	0.36406
1	0.80819
1.02	0.72003
1.04	0.12825
1.06	-0.39886
1.08	-0.55372
1.1	-0.59326
1.12	-0.41425
1.14	0.13058
1.16	0.58354
1.18	0.60172
1.2	0.24083
1.22	0.0555
1.24	0.15493
1.26	0.28431
1.28	0.29132
1.3	0.29034
1.32	0.32626
1.34	0.18135
1.36	0.01333
1.38	0.01132
1.4	0.09133
1.42	0.14736
1.44	0.04732
1.46	-0.24893
1.48	-0.18571
1.5	0.22611
1.52	0.41505
1.54	0.27093
1.56	0.10789
1.58	0.14267
1.6	0.24396
1.62	0.20728
1.64	0.14328
1.66	0.13247
1.68	0.35601
1.7	0.71129
1.72	0.83051
1.74	0.74581
1.76	0.40784
1.78	0.27457
1.8	0.24115
1.82	0.07298
1.84	-0.04962
1.86	-0.06498
1.88	0.03032
1.9	0.00059
1.92	-0.10245
1.94	-0.08579
1.96	-0.02514
1.98	0.1538
2	0.24598
2.02	0.09286
2.04	-0.52339
2.06	-1.259
2.08	-1.4026
2.1	-1.2414
2.12	-1.155
2.14	-1.2084
2.16	-1.503
2.18	-1.8466
2.2	-1.9696
2.22	-2.0259
2.24	-2.0082
2.26	-1.9452
2.28	-1.5667
2.3	-0.79674
2.32	0.12959
2.34	1.0265
2.36	1.7219
2.38	2.2543
2.4	2.4365
2.42	2.4107
2.44	2.0454
2.46	1.8072
2.48	1.216
2.5	0.21619
2.52	-0.73672
2.54	-1.4899
2.56	-1.7821
2.58	-1.8097
2.6	-1.4316
2.62	-0.23479
2.64	1.3367
2.66	2.3108
2.68	2.7216
2.7	3.0961
2.72	1.7141
2.74	-1.4
2.76	-3.0026
2.78	-2.4962
2.8	-0.50762
2.82	0.1818
2.84	0.06033
2.86	-0.37214
2.88	-1.2851
2.9	-1.5394
2.92	-1.7952
2.94	-1.6328
2.96	-0.94153
2.98	-0.62624
3	-0.12213
3.02	0.26505
3.04	-0.38309
3.06	-1.3015
3.08	-1.7385
3.1	-1.7286
3.12	-1.8509
3.14	-1.9042
3.16	-1.6815
3.18	-1.286
3.2	-0.79909
3.22	-0.03692
3.24	0.7974
3.26	1.5157
3.28	1.5586
3.3	1.2749
3.32	1.2734
3.34	1.4645
3.36	1.7591
3.38	1.9483
3.4	1.9608
3.42	1.9615
3.44	2.2605
3.46	2.4903
3.48	2.5527
3.5	2.6296
3.52	2.3035
3.54	1.2132
3.56	0.44861
3.58	0.27827
3.6	0.15873
3.62	-0.22824
3.64	-0.77206
3.66	-1.478
3.68	-2.3284
3.7	-3.0901
3.72	-3.4882
3.74	-3.4005
3.76	-3.2782
3.78	-3.1974
3.8	-3.3239
3.82	-3.2692
3.84	-2.8144
3.86	-1.8123
3.88	-0.70204
3.9	-0.56856
3.92	-0.65223
3.94	-0.38796
3.96	0.12127
3.98	1.059
4	2.3856
4.02	3.9299
4.04	4.6938
4.06	3.8247
4.08	2.649
4.1	2.2041
4.12	2.2753
4.14	2.6014
4.16	2.9426
4.18	3.0422
4.2	3.0327
4.22	3.1352
4.24	2.82
4.26	1.1713
4.28	-0.48474
4.3	-1.5911
4.32	-2.1703
4.34	-2.4733
4.36	-3.0278
4.38	-3.2244
4.4	-3.2937
4.42	-2.6686
4.44	-1.494
4.46	-0.67278
4.48	-0.00778
4.5	0.42026
4.52	0.58653
4.54	0.41352
4.56	-0.09847
4.58	-0.55182
4.6	-1.2944
4.62	-1.5503
4.64	-0.86144
4.66	-0.03573
4.68	0.64103
4.7	1.1105
4.72	1.5246
4.74	1.7832
4.76	2.1483
4.78	2.2435
4.8	1.3183
4.82	-0.43878
4.84	-0.87527
4.86	-0.11968
4.88	-0.0275
4.9	0.08616
4.92	0.37804
4.94	0.5047
4.96	0.27663
4.98	-0.18885
5	-0.75435
5.02	-0.93909
5.04	-1.0655
5.06	-1.2778
5.08	-1.3243
5.1	-1.1602
5.12	-0.9683
5.14	-0.96376
5.16	-1.0758
5.18	-1.1438
5.2	-0.98761
5.22	-0.87856
5.24	-0.82601
5.26	-0.78892
5.28	-0.57297
5.3	0.0295
5.32	0.53705
5.34	0.66994
5.36	0.85841
5.38	1.1454
5.4	1.1622
5.42	0.84216
5.44	0.36497
5.46	0.15715
5.48	0.19414
5.5	0.42202
5.52	0.64353
5.54	0.66176
5.56	0.58021
5.58	0.55323
5.6	0.63465
5.62	0.79028
5.64	0.59543
5.66	0.05517
5.68	-0.16787
5.7	-0.26396
5.72	-0.12254
5.74	0.1752
5.76	0.64364
5.78	1.4491
5.8	2.1557
5.82	2.467
5.84	1.9749
5.86	0.64179
5.88	-0.65347
5.9	-1.3856
5.92	-1.4768
5.94	-1.4486
5.96	-1.0258
5.98	-0.5016
6	-0.39533
6.02	-0.42063
6.04	-0.64145
6.06	-0.69734
6.08	-0.58029
6.1	-0.47941
6.12	-0.21921
6.14	0.31889
6.16	0.55209
6.18	0.22553
6.2	-0.45037
6.22	-0.74949
6.24	-0.70879
6.26	-0.79619
6.28	-0.52881
6.3	-0.0485
6.32	0.09619
6.34	0.05006
6.36	-0.06162
6.38	-0.06778
6.4	0.0445
6.42	0.04131
6.44	-0.0291
6.46	-0.05133
6.48	-0.17262
6.5	-0.54831
6.52	-0.94974
6.54	-1.1761
6.56	-1.1116
6.58	-0.67719
6.6	-0.23112
6.62	-0.02896
6.64	0.0343
6.66	0.01384
6.68	-0.03633
6.7	-0.04915
6.72	-0.19214
6.74	-0.50829
6.76	-0.96175
6.78	-1.4055
6.8	-1.5494
6.82	-1.5796
6.84	-1.398
6.86	-0.64568
6.88	0.23934
6.9	1.0063
6.92	1.5333
6.94	1.7154
6.96	1.5332
6.98	1.1759
7	1.0849
7.02	1.2826
7.04	1.6988
7.06	2.2457
7.08	2.8143
7.1	3.1393
7.12	3.1076
7.14	2.6296
7.16	1.8347
7.18	1.0608
7.2	0.51208
7.22	0.18522
7.24	-0.03548
7.26	-0.07119
7.28	0.0618
7.3	0.10839
7.32	0
7.34	-0.1394
7.36	-0.34009
7.38	-0.55341
7.4	-0.70754
7.42	-0.89614
7.44	-1.1804
7.46	-1.5544
7.48	-1.8276
7.5	-1.9029
7.52	-1.8565
7.54	-1.861
7.56	-1.8994
7.58	-1.9047
7.6	-1.7742
7.62	-1.2039
7.64	-0.57254
7.66	-0.08348
7.68	0.22822
7.7	0.28152
7.72	0.21186
7.74	0.11637
7.76	0.10166
7.78	0.15103
7.8	0.23905
7.82	0.5852
7.84	1.1291
7.86	1.7211
7.88	1.9793
7.9	1.8066
7.92	1.6762
7.94	1.7126
7.96	1.685
7.98	1.6601
8	1.2693
8.02	0.41357
8.04	-0.23026
8.06	-0.81499
8.08	-1.3215
8.1	-1.5732
8.12	-1.0268
8.14	-0.15435
8.16	0.40693
8.18	0.03992
8.2	-0.79242
8.22	-1.1102
8.24	-1.3885
8.26	-1.5596
8.28	-1.3584
8.3	-0.95236
8.32	-0.72983
8.34	-0.63252
8.36	-0.684
8.38	-0.80348
8.4	-0.53933
8.42	0.08002
8.44	0.63502
8.46	1.0805
8.48	1.3225
8.5	1.3944
8.52	1.3786
8.54	1.0237
8.56	0.72725
8.58	0.8958
8.6	1.0473
8.62	1.0799
8.64	1.0033
8.66	0.56748
8.68	0.1144
8.7	0.02205
8.72	0.02288
8.74	0.02519
8.76	0.0066
8.78	-0.19668
8.8	-0.42614
8.82	-0.5405
8.84	-0.63405
8.86	-0.76881
8.88	-0.92432
8.9	-0.9734
8.92	-0.28289
8.94	0.52759
8.96	0.88605
8.98	1.0295
9	1.0118
9.02	0.66418
9.04	0.00666
9.06	-0.34839
9.08	-0.21699
9.1	0.08049
9.12	-0.00092
9.14	-0.29498
9.16	-0.61169
9.18	-0.77204
9.2	-0.66665
9.22	-0.52697
9.24	-0.48784
9.26	-0.53992
9.28	-0.57422
9.3	-0.52899
9.32	-0.52055
9.34	-0.62115
9.36	-0.72052
9.38	-0.70481
9.4	-0.60966
9.42	-0.43871
9.44	-0.32697
9.46	-0.44446
9.48	-0.72737
9.5	-0.89218
9.52	-0.57042
9.54	-0.06328
9.56	0.27168
9.58	0.44372
9.6	0.47454
9.62	0.35447
9.64	0.22886
9.66	0.27029
9.68	0.34925
9.7	0.3413
9.72	0.27733
9.74	0.31631
9.76	0.40587
9.78	0.39856
9.8	0.31332
9.82	0.26567
9.84	0.31686
9.86	0.36413
9.88	0.40299
9.9	0.43628
9.92	0.4353
9.94	0.38168
9.96	0.32534
9.98	0.28845
10	0.16119
10.02	-0.10977
10.04	-0.37551
10.06	-0.56479
10.08	-0.73347
10.1	-0.85618
10.12	-0.94015
10.14	-0.98116
10.16	-0.93003
10.18	-0.59857
10.2	-0.28617
10.22	-0.3876
10.24	-0.69635
10.26	-0.95016
10.28	-1.0488
10.3	-1.0077
10.32	-0.82882
10.34	-0.59304
10.36	-0.46751
10.38	-0.35678
10.4	-0.14881
10.42	0.11704
10.44	0.30123
10.46	0.40983
10.48	0.50239
10.5	0.58121
10.52	0.65108
10.54	0.71416
10.56	0.76178
10.58	0.80215
10.6	0.8664
10.62	0.90742
10.64	0.82953
10.66	0.66415
10.68	0.6096
10.7	0.65178
10.72	0.67167
10.74	0.64902
10.76	0.64191
10.78	0.62698
10.8	0.55497
10.82	0.45445
10.84	0.37242
10.86	0.32486
10.88	0.29937
10.9	0.22958
10.92	0.13196
10.94	0.02551
10.96	-0.08356
10.98	-0.18862
11	-0.2744
11.02	-0.2585
11.04	-0.25911
11.06	-0.33448
11.08	-0.37253
11.1	-0.28072
11.12	-0.16337
11.14	-0.20726
11.16	-0.3673
11.18	-0.47395
11.2	-0.45408
11.22	-0.41454
11.24	-0.33121
11.26	-0.16064
11.28	-0.06173
11.3	-0.09342
11.32	-0.19121
11.34	-0.34672
11.36	-0.46051
11.38	-0.44409
11.4	-0.32059
11.42	-0.21108
11.44	-0.19411
11.46	-0.21772
11.48	-0.14614
11.5	0.13793
11.52	0.4605
11.54	0.58378
11.56	0.59007
11.58	0.24257
11.6	-0.29826
11.62	-0.53763
11.64	-0.33903
11.66	0.04634
11.68	0.2114
11.7	0.24815
11.72	0.26375
11.74	0.26942
11.76	0.2047
11.78	0.10905
11.8	0.07074
11.82	0.05451
11.84	-0.04868
11.86	-0.15348
11.88	-0.20371
11.9	-0.2055
11.92	-0.09602
11.94	0.08548
11.96	0.19923
11.98	0.23669
12	0.28537
12.02	0.28863
12.04	0.14577
12.06	0.02507
12.08	0.02134
12.1	0.07382
12.12	0.17833
12.14	0.22581
12.16	0.18679
12.18	0.15466
12.2	0.12211
12.22	0.10798
12.24	0.12865
12.26	0.13422
12.28	0.10901
12.3	0.0414
12.32	-0.03182
12.34	-0.07086
12.36	-0.08791
12.38	-0.08906
12.4	-0.11735
12.42	-0.18678
12.44	-0.2166
12.46	-0.17797
12.48	-0.08653
12.5	0.00904
12.52	0.03445
12.54	-0.04431
12.56	-0.21105
12.58	-0.37356
12.6	-0.4553
12.62	-0.41279
12.64	-0.32533
12.66	-0.2635
12.68	-0.14897
12.7	-0.01432
12.72	0.09008
12.74	0.10429
12.76	0.06838
12.78	0.10082
12.8	0.1917
12.82	0.29612
12.84	0.39716
12.86	0.46463
12.88	0.42375
12.9	0.3234
12.92	0.26749
12.94	0.2275
12.96	0.19048
12.98	0.15768
13	0.10636
13.02	0.08115
13.04	0.0983
13.06	0.14352
13.08	0.15018
13.1	0.04636
13.12	-0.11119
13.14	-0.24914
13.16	-0.32282
13.18	-0.34433
13.2	-0.38309
13.22	-0.40081
13.24	-0.35802
13.26	-0.31285
13.28	-0.32163
13.3	-0.32745
13.32	-0.31454
13.34	-0.28958
13.36	-0.29744
13.38	-0.36471
13.4	-0.43562
13.42	-0.43838
13.44	-0.24572
13.46	0.04142
13.48	0.25407
13.5	0.34255
13.52	0.30008
13.54	0.15691
13.56	0.02589
13.58	-0.0367
13.6	-0.07125
13.62	-0.025
13.64	0.10319
13.66	0.21317
13.68	0.26693
13.7	0.23268
13.72	0.16411
13.74	0.12269
13.76	0.10398
13.78	0.06655
13.8	0.00696
13.82	-0.04728
13.84	-0.08609
13.86	-0.05906
13.88	-0.05998
13.9	-0.11906
13.92	-0.13893
13.94	-0.0821
13.96	0.02261
13.98	0.14543
14	0.27228
14.02	0.36936
14.04	0.42777
14.06	0.44164
14.08	0.41726
14.1	0.28298
14.12	0.08752
14.14	-0.03798
14.16	-0.04469
14.18	0.0411
14.2	0.10029
14.22	0.10815
14.24	0.1092
14.26	0.13963
14.28	0.12108
14.3	0.0236
14.32	-0.0864
14.34	-0.17395
14.36	-0.214
14.38	-0.20539
14.4	-0.18513
14.42	-0.15517
14.44	-0.09604
14.46	-0.00852
14.48	0.06907
14.5	0.08005
14.52	0.04313
14.54	0.03221
14.56	0.06764
14.58	0.14547
14.6	0.17417
14.62	0.15014
14.64	-0.01182
14.66	-0.24035
14.68	-0.30956
14.7	-0.29534
14.72	-0.2295
14.74	-0.11691
14.76	0.05551
14.78	0.23786
14.8	0.3614
14.82	0.42108
14.84	0.45845
14.86	0.47822
14.88	0.39231
14.9	0.15634
14.92	0.01835
14.94	0.03174
14.96	0.08993
14.98	0.06442
15	-0.00559
15.02	-0.05317
15.04	-0.10978
15.06	-0.19597
15.08	-0.3334
15.1	-0.46677
15.12	-0.58302
15.14	-0.66134
15.16	-0.70526
15.18	-0.66807
15.2	-0.51214
15.22	-0.28524
15.24	-0.10915
15.26	0.02409
15.28	0.10949
15.3	0.21242
15.32	0.35842
15.34	0.52169
15.36	0.62943
15.38	0.63144
15.4	0.44902
15.42	0.11347
15.44	-0.08245
15.46	-0.17835
15.48	-0.19631
15.5	-0.14634
15.52	-0.11196
15.54	-0.1033
15.56	-0.05819
15.58	0.09568
15.6	0.23598
15.62	0.28544
15.64	0.25484
15.66	0.16833
15.68	0.03986
15.7	-0.06785
15.72	-0.09413
15.74	-0.04996
15.76	0.01664
15.78	0.05569
15.8	0.07353
15.82	0.09493
15.84	0.12932
15.86	0.11387
15.88	0.02223
15.9	-0.09616
15.92	-0.19607
15.94	-0.23058
15.96	-0.21831
15.98	-0.20655
16	-0.15558
16.02	-0.04409
16.04	0.09725
16.06	0.23555
16.08	0.3126
16.1	0.33985
16.12	0.37494
16.14	0.41947
16.16	0.44559
16.18	0.36911
16.2	0.1684
16.22	0.02483
16.24	-0.0498
16.26	-0.09571
16.28	-0.07839
16.3	0.01457
16.32	0.13213
16.34	0.22161
16.36	0.2476
16.38	0.21064
16.4	0.15487
16.42	0.13096
16.44	0.18062
16.46	0.22888
16.48	0.2148
16.5	0.15743
16.52	0.05064
16.54	-0.0851
16.56	-0.1968
16.58	-0.23554
16.6	-0.20717
16.62	-0.17849
16.64	-0.16827
16.66	-0.19384
16.68	-0.25051
16.7	-0.32119
16.72	-0.33331
16.74	-0.28352
16.76	-0.21184
16.78	-0.1336
16.8	-0.05235
16.82	0.03004
16.84	0.08286
16.86	0.07294
16.88	0.04458
16.9	0.02929
16.92	-0.01633
16.94	-0.12983
16.96	-0.25275
16.98	-0.34387
17	-0.39435
17.02	-0.37509
17.04	-0.30964
17.06	-0.18233
17.08	-0.05184
17.1	0.03315
17.12	0.09384
17.14	0.1152
17.16	0.10047
17.18	0.04017
17.2	-0.02186
17.22	-0.03973
17.24	-0.02039
17.26	-0.00314
17.28	-0.02268
17.3	-0.05209
17.32	-0.04396
17.34	-0.03257
17.36	-0.11203
17.38	-0.2313
17.4	-0.30363
17.42	-0.28013
17.44	-0.22001
17.46	-0.24267
17.48	-0.30442
17.5	-0.29466
17.52	-0.22884
17.54	-0.13576
17.56	-0.04636
17.58	0.02294
17.6	0.09389
17.62	0.16132
17.64	0.21454
17.66	0.18737
17.68	0.10971
17.7	0.0365
17.72	-0.02025
17.74	-0.06042
17.76	-0.0587
17.78	-0.05184
17.8	-0.06799
17.82	-0.03588
17.84	0.03077
17.86	0.08715
17.88	0.10628
17.9	0.05073
17.92	-0.00704
17.94	0.006
17.96	0.06445
17.98	0.10162
18	0.12636
18.02	0.17722
18.04	0.22106
18.06	0.17222
18.08	0.0013
18.1	-0.1176
18.12	-0.11723
18.14	-0.06378
18.16	0.02537
18.18	0.08097
18.2	0.10681
18.22	0.1141
18.24	0.07312
18.26	0.01749
18.28	-0.01242
18.3	0.02016
18.32	0.04197
